Arup

Steel Design
Vieerendeel Roof
Example

File Steel_Design_Complex.gwb
Exported 04/12/2014 13:36:00

GSA 8.7.0.36 64-bit Copyright © Oasys 1985-2014

Beam Derived Stresses
Stresses are calculated only for elements that have unmodified Area, Iyy and Izz or for which
the 'Stress Calc. Basis' is specified as 'Section'.
The 'Stress Calc. Basis' is reported only for sections that have modified Area, Iyy or Izz.

+ve stresses:  tensile

SEy and SEz are the maximum elastic shear stresses.  (Refer to the GSA manual for details.)

Torsional stress:  St = Mxx/Ct
- where Ct is the 'torsion modulus'.  (Refer to the GSA manual for details.)

Von Mises stress:  This is calculated assuming the maximum through thickness stress and torsional stress coexist.
In most cases this is an over-estimate of the von Mises stress.

Case list:  C3 : ULS3

START_TABLE Beam Derived Stresses
Elem	Case	Stress Calc. Basis	Pos	SEy	SEz	St	Von Mises
				[Pa]	[Pa]	[Pa]	[Pa]
92	C3		472	-1.287E+6	4.373E+6	584900.	100.1E+6
			473	-1.287E+6	4.373E+6	584900.	63.66E+6
94	C3		473	1.159E+6	-689500.	-1.576E+6	11.81E+6
			494	1.159E+6	-689500.	-1.576E+6	6.728E+6
95	C3		473	-1.082E+6	9.480E+6	1.217E+6	115.2E+6
			474	-1.082E+6	9.480E+6	1.217E+6	75.99E+6
97	C3		474	789000.	2.426E+6	-2.720E+6	17.38E+6
			495	789000.	2.426E+6	-2.720E+6	19.92E+6
98	C3		474	-465900.	15.83E+6	2.691E+6	127.3E+6
			475	-465900.	15.83E+6	2.691E+6	94.46E+6
100	C3		475	88530.	6.606E+6	-4.572E+6	39.23E+6
			496	88530.	6.606E+6	-4.572E+6	40.92E+6
101	C3		475	550900.	20.31E+6	4.902E+6	126.5E+6
			476	550900.	20.31E+6	4.902E+6	108.5E+6
103	C3		476	-833500.	12.65E+6	-7.055E+6	79.84E+6
			497	-833500.	12.65E+6	-7.055E+6	72.54E+6
104	C3		476	1.856E+6	21.69E+6	6.943E+6	111.5E+6
			477	1.856E+6	21.69E+6	6.943E+6	114.1E+6
106	C3		477	-1.482E+6	19.98E+6	-8.544E+6	129.2E+6
			498	-1.482E+6	19.98E+6	-8.544E+6	105.7E+6
107	C3		477	2.716E+6	18.41E+6	6.795E+6	97.38E+6
			478	2.716E+6	18.41E+6	6.795E+6	116.0E+6
109	C3		478	55270.	26.29E+6	-6.307E+6	162.2E+6
			499	55270.	26.29E+6	-6.307E+6	120.2E+6
110	C3		478	-626000.	10.05E+6	2.259E+6	52.09E+6
			479	-626000.	10.05E+6	2.259E+6	88.28E+6
112	C3		479	5.028E+6	28.48E+6	2.280E+6	200.6E+6
